Top (Ma),Base (Ma),Duration (myr)
0,0.781,0.781
0.781,0.988,0.207
0.988,1.072,0.084
1.072,1.173,0.101
1.173,1.185,0.012
1.185,1.778,0.593
1.778,1.945,0.167
1.945,2.128,0.183
2.128,2.148,0.02
2.148,2.581,0.433
2.581,3.032,0.451
3.032,3.116,0.084
3.116,3.207,0.091
3.207,3.33,0.123
3.33,3.596,0.266
3.596,4.187,0.591
4.187,4.3,0.113
4.3,4.493,0.193
4.493,4.631,0.138
4.631,4.799,0.168
4.799,4.896,0.097
4.896,4.997,0.101
4.997,5.235,0.238
5.235,6.033,0.798
6.033,6.252,0.219
6.252,6.436,0.184
6.436,6.733,0.297
6.733,7.14,0.407
7.14,7.212,0.072
7.212,7.251,0.039
7.251,7.285,0.034
7.285,7.454,0.169
7.454,7.489,0.035
7.489,7.528,0.039
7.528,7.642,0.114
7.642,7.695,0.053
7.695,8.108,0.413
8.108,8.254,0.146
8.254,8.3,0.046
8.3,8.771,0.471
8.771,9.105,0.334
9.105,9.311,0.206
9.311,9.426,0.115
9.426,9.647,0.221
9.647,9.721,0.074
9.721,9.786,0.065
9.786,9.937,0.151
9.937,9.984,0.047
9.984,11.056,1.072
11.056,11.146,0.09
11.146,11.188,0.042
11.188,11.592,0.404
11.592,11.657,0.065
11.657,12.049,0.392
12.049,12.174,0.125
12.174,12.272,0.098
12.272,12.474,0.202
12.474,12.735,0.261
12.735,12.77,0.035
12.77,12.829,0.059
12.829,12.887,0.058
12.887,13.032,0.145
13.032,13.183,0.151
13.183,13.363,0.18
13.363,13.608,0.245
13.608,13.739,0.131
13.739,14.07,0.331
14.07,14.163,0.093
14.163,14.609,0.446
14.609,14.775,0.166
14.775,14.87,0.095
14.87,15.032,0.162
15.032,15.16,0.128
15.16,15.974,0.814
15.974,16.268,0.294
16.268,16.303,0.035
16.303,16.472,0.169
16.472,16.543,0.071
16.543,16.721,0.178
16.721,17.235,0.514
17.235,17.533,0.298
17.533,17.717,0.184
17.717,17.74,0.023
17.74,18.056,0.316
18.056,18.524,0.468
18.524,18.748,0.224
18.748,19.722,0.974
19.722,20.04,0.318
20.04,20.213,0.173
20.213,20.439,0.226
20.439,20.709,0.27
20.709,21.083,0.374
21.083,21.159,0.076
21.159,21.403,0.244
21.403,21.483,0.08
21.483,21.659,0.176
21.659,21.688,0.029
21.688,21.767,0.079
21.767,21.936,0.169
21.936,21.992,0.056
21.992,22.268,0.276
22.268,22.564,0.296
22.564,22.754,0.19
22.754,22.902,0.148
22.902,23.03,0.128
23.03,23.233,0.203
23.233,23.295,0.062
23.295,23.962,0.667
23.962,24,0.038
24,24.109,0.109
24.109,24.474,0.365
24.474,24.761,0.287
24.761,24.984,0.223
24.984,25.099,0.115
25.099,25.264,0.165
25.264,25.304,0.04
25.304,25.987,0.683
25.987,26.42,0.433
26.42,27.439,1.019
27.439,27.859,0.42
27.859,28.087,0.228
28.087,28.141,0.054
28.141,28.278,0.137
28.278,29.183,0.905
29.183,29.477,0.294
29.477,29.527,0.05
29.527,29.97,0.443
29.97,30.591,0.621
30.591,31.034,0.443
31.034,33.157,2.123
33.157,33.705,0.548
33.705,34.999,1.294
34.999,35.294,0.295
35.295,35.706,0.411
35.706,35.892,0.186
35.892,36.051,0.159
36.051,36.7,0.649
36.7,36.969,0.269
36.969,37.753,0.784
37.753,37.872,0.119
37.872,38.093,0.221
38.094,38.159,0.065
38.159,38.333,0.174
38.332,38.615,0.283
38.615,39.627,1.012
39.628,39.698,0.07
39.698,40.145,0.447
40.144,41.154,1.01
41.155,41.39,0.235
41.389,42.301,0.912
42.302,43.432,1.13
